ID,species,year,month,sex,SL,mass,alleles,genotype,Gen_freq_all,Gen_freq_species,avg_freq_species,avg_freq_all,freq_rare_species,freq_rare_all,phenotype,num_supertype,supertype,freq_super_species,freq_super_all,gill,acantho,,,
ESPCC10_4212019,orangethroat,2019,April,M,44.35,1.16,5,026/038/052/054/074,0.003,0.016,,,,,,2,3/4,,,0,1,,,
ESPCC7_4212019,orangethroat,2019,April,M,44.83,1.37,2,075/076,0.003,0.016,,,,,,2,3/4,,,0,2,,,
ESPCC3_4212019,orangethroat,2019,April,M,43.82,1.27,2,036/039,0.003,0.016,,,,,,2,1/3,,,0,1,,,
ESPCC11_4212019,orangethroat,2019,April,F,45.01,1.42,2,061/079,0.003,0.016,,,,,,1,3,,,0,0,,,
ESPCC1_4212019,orangethroat,2019,April,M,42.48,1.31,4,026/052/054/057,0.003,0.016,,,,,,2,2/4,,,0,0,,,
ESPCC20_4212019,orangethroat,2019,April,F,40.82,1,2,007/036,0.006,0.033,,,,,,2,3/4,,,0,0,,,
ESPCC2_4212019,orangethroat,2019,April,M,43.56,1.17,2,007/052,0.003,0.016,,,,,,1,4,,,0,0,,,
ESPCC14_4212019,orangethroat,2019,April,F,40.2,1.16,3,005/030/124,0.003,0.016,,,,,,2,1/3,,,0,0,,,
GSF2303-ESPCC1_6282019,orangethroat,2019,June,,,,2,054/055,0.006,0.016,,,,,,2,2/4,,,,,,,
GSF2303-ESPCC3_6282019,orangethroat,2019,June,,,,3,054/075/090,0.006,0.016,,,,,,2,3/4,,,,,,,
GSF2303-ESPCC4_6282019,orangethroat,2019,June,,,,4,012/054/055/089,0.003,0.016,,,,,,4,1/2/3/4,,,,,,,
GSF2303-ESPCC5_6282019,orangethroat,2019,June,,,,3,025/054/063,0.003,0.016,,,,,,2,1/4,,,,,,,
GSF2303-ESPCC1_3102019,orangethroat,2019,March,M,37.54,0.86,1,036,0.006,0.033,,,,,,1,3,,,0,0,,,
GSF2303-ESPCC2_3102019,orangethroat,2019,March,M,41.45,1.22,1,033,0.006,0.033,,,,,,1,1,,,0,0,,,
GSF2303-ESPCC3_3102019,orangethroat,2019,March,M,45.84,1.97,1,032,0.006,0.033,,,,,,1,3,,,0,0,,,
GSF2303-ESPCC4_3102019,orangethroat,2019,March,F,35.05,0.82,6,001/012/092/093/094/124,0.003,0.016,,,,,,2,3/4,,,0,0,,,
GSF2303-ESPCC5_3102019,orangethroat,2019,March,M,38.8,0.9,8,033/049/054/063/092/095/096/097,0.003,0.016,,,,,,3,1/3/4,,,0,0,,,
GSF2303-ESPCC6_3102019,orangethroat,2019,March,F,40.03,1.02,5,025/063/092/098/124,0.003,0.016,,,,,,2,1/3,,,0,0,,,
GSF2303-ESPCC8_3102019,orangethroat,2019,March,M,43.36,1.45,6,012/033/049/055/092/124,0.003,0.016,,,,,,4,1/2/3/4,,,0,0,,,
GSF2303-ESPCC9_3102019,orangethroat,2019,March,M,40.52,0.92,3,004/044/092,0.003,0.016,,,,,,2,2/3,,,0,0,,,
GSF2303-ESPCC10_3102019,orangethroat,2019,March,F,38.1,0.77,1,032,0.006,0.033,,,,,,1,3,,,0,0,,,
GSF2303-ESPCC19_3102019,orangethroat,2019,March,F,35.66,0.69,3,007/092/124,0.003,0.016,,,,,,2,3/4,,,0,0,,,
GSF2303-ESPCC20_3102019,orangethroat,2019,March,F,37.85,0.76,2,007/037,0.006,0.033,,,,,,1,4,,,0,0,,,
GSF2450-G6-ESPCC2_6282019,orangethroat,2019,June,,,,1,111,0.003,0.016,,,,,,1,3,,,0,0,,,
GSF2450-G10-ESPCC1_3162020,orangethroat,2020,March,M,42.77,1.38,4,008/035/111/118,0.003,0.016,,,,,,3,2/3/4,,,0,2,,,
GSF2450-H10-ESPCC6_3162020,orangethroat,2020,March,M,37.35,0.89,3,036/039/093,0.003,0.016,,,,,,3,1/3/4,,,0,0,,,
GSF2450-A11-ESPCC5_3162020,orangethroat,2020,March,M,39.85,1.06,1,007,0.013,0.049,,,,,,1,4,,,0,0,,,
GSF2450-G11-ESPCC3_3162020,orangethroat,2020,March,M,40.2,1.2,2,119/120,0.003,0.016,,,,,,1,4,,,0,1,,,
GSF2450-H11-ESPCC4_3162020,orangethroat,2020,March,M,47.81,1.43,1,051,0.006,0.033,,,,,,1,4,,,0,1,,,
GSF2450-A12-ESPCC8_3162020,orangethroat,2020,March,M,40.48,1.23,2,061/111,0.003,0.016,,,,,,1,3,,,0,0,,,
GSF2450-B12-ESPCC7_3162020,orangethroat,2020,March,M,40.64,1.19,3,036/039/061,0.003,0.016,,,,,,2,1/3,,,0,0,,,
GSF2679-E3-ESPCC1_08022020,orangethroat,2020,August,,40.4,0.88,3,004/009/043,0.003,0.016,,,,,,2,2/3,,,0,0,,,
GSF2450-B11-ESPCC2R1_3162020,orangethroat,2020,March,M,48.68,1.92,1,111,0.003,0.016,,,,,,1,3,,,0,0,,,
ECCC11_10132018,rainbow,2018,October,,,0.93,2,002/003,0.003,0.007,,,,,,1,3,,,,,,,
ECCC13_10132018,rainbow,2018,October,,,0.51,3,004/005/006,0.016,0.007,,,,,,3,2/3/4,,,,,,,
ECCC14_10132018,rainbow,2018,October,,,0.45,1,002,0.003,0.034,,,,,,1,3,,,,,,,
ECCC15_10132018,rainbow,2018,October,,,0.85,1,124,0.060,0.007,,,,,,1,3,,,,,,,
ECCC16_10132018,rainbow,2018,October,,,0.53,1,004,0.016,0.123,,,,,,1,2,,,,,,,
ECCC17_10132018,rainbow,2018,October,,,0.5,1,007,0.013,0.034,,,,,,1,4,,,,,,,
ECCC19_10132018,rainbow,2018,October,,,0.47,3,002/006/008,0.003,0.007,,,,,,2,3/4,,,,,,,
ECCC1_10132018,rainbow,2018,October,,,0.58,2,009/010,0.009,0.007,,,,,,1,3,,,0,,,,
ECCC21_10132018,rainbow,2018,October,,,0.47,2,001/011,0.006,0.021,,,,,,2,3/4,,,0,,,,
ECCC25_10132018,rainbow,2018,October,,,2.13,4,012/013/014/015,0.003,0.014,,,,,,3,1/3/4,,,5,,,,
ECCC26_10132018,rainbow,2018,October,,,0.43,1,001,0.003,0.007,,,,,,1,4,,,1,,,,
ECCC27_10132018,rainbow,2018,October,,,0.91,3,001/013/123,0.003,0.007,,,,,,1,4,,,0,,,,
ECCC28_10132018,rainbow,2018,October,,,0.59,2,001/011,0.006,0.007,,,,,,2,3/4,,,0,,,,
ECCC29_10132018,rainbow,2018,October,,,1.09,5,001/012/013/057/123,0.003,0.014,,,,,,3,2/3/4,,,0,,,,
ECCC32_10132018,rainbow,2018,October,,,0.45,3,004/005/006,0.016,0.007,,,,,,3,2/3/4,,,0,,,,
ECCC34_10132018,rainbow,2018,October,,,0.64,3,001/003/019,0.003,0.034,,,,,,3,1/3/4,,,0,,,,
ECCC36_10132018,rainbow,2018,October,,,0.52,3,001/003/022,0.003,0.007,,,,,,2,3/4,,,0,,,,
ECCC37_10132018,rainbow,2018,October,,,0.55,2,001/010,0.003,0.007,,,,,,2,3/4,,,0,,,,
